Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-73776,RNA Polymerase II Promoter Escape,9,51,0.003346457,0.865560131,0.865560131,7,7,4.95E-04,9606,Homo sapiens,GTF2A1;CDK7;CCNH;TSHZ1;TAF9;GTF2H2;GTF2H3;GTF2F2;TAF3,,R-HSA-75873;R-HSA-111264;R-HSA-76576;R-HSA-9613494;R-HSA-75850;R-HSA-9613497;R-HSA-75869
R-HSA-5419276,Mitochondrial translation termination,18,94,0.006167979,0.866040918,0.866040918,5,5,3.53E-04,9606,Homo sapiens,PTCD3;MRPS15;MRPS23;MRPL38;MRPL27;MRPS31;MRPL36;MRPL58;MRPS30;MRPS7;MRPL12;MRPL23;MRPL46;MRPL10;MRPL33;MRPL42;MRPS9,,R-HSA-5419264;R-HSA-5419281;R-HSA-5419271;R-HSA-5419273;R-HSA-5419277
R-HSA-69052,Switching of origins to a post-replicative state,18,94,0.006167979,0.866040918,0.866040918,7,10,7.07E-04,9606,Homo sapiens,PSMD12;ANAPC7;RPN2;PSMD14;PSMB8;CCNA2;PSMB7;CLN3;CCNA1;PSMC5;ORC6;PSMA1;CCNE1;CDH1;UBC;PSMD3;CCNL1;CCN1,,R-HSA-68944;R-HSA-68946;R-HSA-68948;R-HSA-69015;R-HSA-69016;R-HSA-69019;R-HSA-69005
R-HSA-5389840,Mitochondrial translation elongation,18,94,0.006167979,0.866040918,0.866040918,5,8,5.65E-04,9606,Homo sapiens,PTCD3;MRPS15;MRPS23;MRPL38;MRPL27;MRPS31;MRPL36;MRPL58;MRPS30;MRPS7;MRPL12;MRPL23;MRPL46;MRPL10;MRPL33;MRPL42;MRPS9,,R-HSA-5389842;R-HSA-5389857;R-HSA-5389848;R-HSA-5419279;R-HSA-5419261
R-HSA-422356,Regulation of insulin secretion,21,108,0.007086614,0.866352851,0.866352851,25,38,0.002685323,9606,Homo sapiens,SYT5;ITPR2;PRKCA;CACNA1D;ACSL4;P3H3;ACSL3;GNG12;GNAI1;PLCB3;MARCKS;GNGT2;PRKAR2B;GNB2;GNA11;GNB4;POC1B;PLCB1;PRKACA;PRKACB,,R-HSA-434382;R-HSA-381644;R-HSA-400015;R-HSA-265166;R-HSA-9728664;R-HSA-381707;R-HSA-381706;R-HSA-400023;R-HSA-169683;R-HSA-169680;R-HSA-381713;R-HSA-416530;R-HSA-265682;R-HSA-400092;R-HSA-400027;R-HSA-400037;R-HSA-400097;R-HSA-400046;R-HSA-381612;R-HSA-265645;R-HSA-399978;R-HSA-422320;R-HSA-399998;R-HSA-400063;R-HSA-399995
R-HSA-376176,Signaling by ROBO receptors,49,235,0.015419948,0.867562344,0.867562344,58,60,0.004239983,9606,Homo sapiens,ROBO3;PSMD12;PSMD14;RPN2;MSI1;NTN1;ROBO1;RPS15;PSMB7;FLRT3;GPC1;UBC;PSMD3;NCK2;PAK6;HOXA2;SLIT3;RPL38;SLIT2;PRKACA;PRKACB;CAP1;RPL13A;UPF3B;PRKCA;MYO9B;ISL1;PSMB8;ENAH;NELL2;PSMC5;CXCL12;PSMA1;RPL22L1;RPL27;AGRN;SOS1;SOS2;RPL26L1;PFN2,,R-HSA-9011083;R-HSA-9010190;R-HSA-9011074;R-HSA-9010951;R-HSA-9011224;R-HSA-9014812;R-HSA-9011347;R-HSA-8986258;R-HSA-9011346;R-HSA-9011241;R-HSA-9010872;R-HSA-9014587;R-HSA-9014834;R-HSA-9010231;R-HSA-9011145;R-HSA-376141;R-HSA-376140;R-HSA-9010503;R-HSA-8985799;R-HSA-9011143;R-HSA-204364;R-HSA-376149;R-HSA-9011289;R-HSA-9010648;R-HSA-9010523;R-HSA-428885;R-HSA-376145;R-HSA-428883;R-HSA-373715;R-HSA-9010641;R-HSA-428510;R-HSA-428511;R-HSA-9010643;R-HSA-9014610;R-HSA-9010898;R-HSA-9010645;R-HSA-8985812;R-HSA-428888;R-HSA-9010647;R-HSA-9010646;R-HSA-428518;R-HSA-9010539;R-HSA-9010541;R-HSA-428515;R-HSA-8986083;R-HSA-428522;R-HSA-9011300;R-HSA-428534;R-HSA-9010681;R-HSA-428535;R-HSA-8985594;R-HSA-428533;R-HSA-9014652;R-HSA-428531;R-HSA-9010815;R-HSA-9011313;R-HSA-8985591;R-HSA-428536
R-HSA-5693554,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),5,31,0.002034121,0.867589424,0.867589424,1,1,7.07E-05,9606,Homo sapiens,BARD1;RTEL1;RAD51C;XRCC2;BRCA1,,R-HSA-5693589
R-HSA-73772,RNA Polymerase I Promoter Escape,11,61,0.004002625,0.868930611,0.868930611,2,2,1.41E-04,9606,Homo sapiens,H2AZ2;CDK7;H2BC15;RRN3;CCNH;H4C14;MMD;RPA1;GTF2H2;GTF2H3,,R-HSA-73769;R-HSA-74986
R-HSA-5607761,Dectin-1 mediated noncanonical NF-kB signaling,12,66,0.004330709,0.871048753,0.871048753,3,9,6.36E-04,9606,Homo sapiens,PSMB7;PSMD12;PSMC5;PSMA1;RPN2;PSMD14;FBXW11;UBC;PSMD3;PSMB8,,R-HSA-5607731;R-HSA-5607725;R-HSA-5607723
R-HSA-69186,Lagging Strand Synthesis,4,26,0.001706037,0.872561696,0.872561696,11,11,7.77E-04,9606,Homo sapiens,LIG1;RFC2;POLD2;RPA1,,R-HSA-69152;R-HSA-69074;R-HSA-69173;R-HSA-69140;R-HSA-69063;R-HSA-69127;R-HSA-69142;R-HSA-69144;R-HSA-69053;R-HSA-69068;R-HSA-69116
R-HSA-190241,FGFR2 ligand binding and activation,4,26,0.001706037,0.872561696,0.872561696,5,5,3.53E-04,9606,Homo sapiens,FGF9;FGF18;FGF1;FGF2,,R-HSA-190258;R-HSA-5656070;R-HSA-190260;R-HSA-190408;R-HSA-190413
R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,4,26,0.001706037,0.872561696,0.872561696,3,3,2.12E-04,9606,Homo sapiens,ANAPC7;UBC;BUB1,,R-HSA-179410;R-HSA-179417;R-HSA-179421
R-HSA-198753,ERK/MAPK targets,4,26,0.001706037,0.872561696,0.872561696,4,7,4.95E-04,9606,Homo sapiens,MAPK11;RPS6KA5;RPS6KA2;DUSP6,,R-HSA-203797;R-HSA-198756;R-HSA-198746;R-HSA-198669
R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,4,26,0.001706037,0.872561696,0.872561696,8,24,0.001695993,9606,Homo sapiens,SMYD2;F2;TSKU;SERPINA5,,R-HSA-158419;R-HSA-158145;R-HSA-9603302;R-HSA-158251;R-HSA-9015379;R-HSA-158137;R-HSA-158300;R-HSA-158333
R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,20,104,0.006824147,0.872718399,0.872718399,52,53,0.003745318,9606,Homo sapiens,CREBBP;UBE2L6;ISG15;UBE2J1;HERC5;IFIH1;NFKBIA;MAVS;BCAM;IRF3;PCBP3;NKIRAS1;TRAF3;NKIRAS2;DHX58;UBC;IRF7;PHACTR2;TRIM25,,R-HSA-936462;R-HSA-9604499;R-HSA-9709842;R-HSA-9709852;R-HSA-933532;R-HSA-9709831;R-HSA-933533;R-HSA-933530;R-HSA-936475;R-HSA-933531;R-HSA-933528;R-HSA-933526;R-HSA-933527;R-HSA-933525;R-HSA-933523;R-HSA-9705137;R-HSA-933538;R-HSA-933539;R-HSA-9705145;R-HSA-933536;R-HSA-933537;R-HSA-913725;R-HSA-990526;R-HSA-936380;R-HSA-936381;R-HSA-936378;R-HSA-1028815;R-HSA-1028812;R-HSA-936390;R-HSA-168140;R-HSA-168909;R-HSA-990528;R-HSA-936412;R-HSA-918232;R-HSA-918230;R-HSA-1028821;R-HSA-1028820;R-HSA-918229;R-HSA-1028819;R-HSA-918227;R-HSA-1028817;R-HSA-918224;R-HSA-918225;R-HSA-1028816;R-HSA-168934;R-HSA-168166;R-HSA-168935;R-HSA-937343;R-HSA-936564;R-HSA-9705320;R-HSA-936563;R-HSA-9705323
R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,20,104,0.006824147,0.872718399,0.872718399,23,44,0.003109321,9606,Homo sapiens,PSMD12;RPN2;PSMD14;CD70;FBXW11;TNFRSF9;TNF;PSMB8;PSMB7;PSMC5;PSMA1;TRAF3;UBC;PSMD3;TNFRSF8;TNFSF9;TNFRSF25;TNFRSF14,,R-HSA-5676598;R-HSA-5668534;R-HSA-5676596;R-HSA-5693012;R-HSA-5668404;R-HSA-5676597;R-HSA-5676595;R-HSA-5668467;R-HSA-5607731;R-HSA-5676593;R-HSA-5668414;R-HSA-5668543;R-HSA-8858475;R-HSA-5668454;R-HSA-5669024;R-HSA-5668481;R-HSA-5668417;R-HSA-5607725;R-HSA-8856189;R-HSA-9714959;R-HSA-5607723;R-HSA-5668520;R-HSA-5669097
R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,14,76,0.004986877,0.875755988,0.875755988,22,22,0.00155466,9606,Homo sapiens,CAP1;TUT7;HSPA2;NR3C1;TUBB4A;NR3C2;TUBB2B;TUBA1B;TUBB2A;TUBB3;DLC1;CAPZA1;FKBP4;TUBA8;VTI1B,,R-HSA-9726580;R-HSA-9706837;R-HSA-5618099;R-HSA-5618098;R-HSA-9726621;R-HSA-9725885;R-HSA-9725855;R-HSA-5618110;R-HSA-5618073;R-HSA-5618105;R-HSA-3371422;R-HSA-5618107;R-HSA-5618085;R-HSA-9705925;R-HSA-9705926;R-HSA-5618080;R-HSA-9690534;R-HSA-3371590;R-HSA-5618093;R-HSA-9726509;R-HSA-3371503;R-HSA-9678925
R-HSA-416550,Sema4D mediated inhibition of cell attachment and migration,2,15,9.84E-04,0.876872744,0.876872744,6,6,4.24E-04,9606,Homo sapiens,SEMA4D;ARHGAP35,,R-HSA-400677;R-HSA-416562;R-HSA-416546;R-HSA-419646;R-HSA-416559;R-HSA-400682
R-HSA-2514853,Condensation of Prometaphase Chromosomes,2,15,9.84E-04,0.876872744,0.876872744,4,4,2.83E-04,9606,Homo sapiens,NCAPD2;SMC2,,R-HSA-2514854;R-HSA-2529015;R-HSA-2520883;R-HSA-2529020
R-HSA-111461,Cytochrome c-mediated apoptotic response,2,15,9.84E-04,0.876872744,0.876872744,11,12,8.48E-04,9606,Homo sapiens,APAF1;CASP3,,R-HSA-114256;R-HSA-114259;R-HSA-9627056;R-HSA-9627089;R-HSA-6804596;R-HSA-114261;R-HSA-6805507;R-HSA-9627078;R-HSA-6804652;R-HSA-114252;R-HSA-114254
R-HSA-113501,Inhibition of replication initiation of damaged DNA by RB1/E2F1,2,15,9.84E-04,0.876872744,0.876872744,2,3,2.12E-04,9606,Homo sapiens,TFDP1;PPP2R3B,,R-HSA-113643;R-HSA-113503
R-HSA-9818028,NFE2L2 regulates pentose phosphate pathway genes,2,15,9.84E-04,0.876872744,0.876872744,4,8,5.65E-04,9606,Homo sapiens,CREBBP;MAFG,,R-HSA-9761812;R-HSA-9761828;R-HSA-9761846;R-HSA-9761849
R-HSA-5358493,Synthesis of diphthamide-EEF2,2,15,9.84E-04,0.876872744,0.876872744,2,4,2.83E-04,9606,Homo sapiens,DPH5;DNAJC24,,R-HSA-5358484;R-HSA-5358494
R-HSA-9758881,Uptake of dietary cobalamins into enterocytes,2,15,9.84E-04,0.876872744,0.876872744,3,7,4.95E-04,9606,Homo sapiens,AMN;PRSS2,,R-HSA-3000137;R-HSA-3000103;R-HSA-3132753
R-HSA-3772470,Negative regulation of TCF-dependent signaling by WNT ligand antagonists,2,15,9.84E-04,0.876872744,0.876872744,2,5,3.53E-04,9606,Homo sapiens,SFRP1;WNT5A,,R-HSA-3772441;R-HSA-3769370
R-HSA-159740,Gamma-carboxylation of protein precursors,2,15,9.84E-04,0.876872744,0.876872744,2,9,6.36E-04,9606,Homo sapiens,GAS6;F2,,R-HSA-159826;R-HSA-163810
R-HSA-162592,Integration of provirus,2,15,9.84E-04,0.876872744,0.876872744,3,14,9.89E-04,9606,Homo sapiens,TMEM169;XRCC5;LIG4,,R-HSA-175174;R-HSA-175258;R-HSA-175177
R-HSA-381183,ATF6 (ATF6-alpha) activates chaperone genes,2,15,9.84E-04,0.876872744,0.876872744,1,5,3.53E-04,9606,Homo sapiens,CALR,,R-HSA-1791082
R-HSA-9694635,Translation of Structural Proteins,15,81,0.005314961,0.878247264,0.878247264,12,46,0.003250654,9606,Homo sapiens,ST6GAL1;ST6GALNAC2;RPN2;PRMT1;PRKCSH;EDEM2;PARP14;PARP9;ZDHHC2;PARP8;UBC;ST3GAL4;MGAT1;ST3GAL1,,R-HSA-9694529;R-HSA-9694656;R-HSA-9696807;R-HSA-9766608;R-HSA-9686790;R-HSA-9694341;R-HSA-9729283;R-HSA-9697018;R-HSA-9694793;R-HSA-9729279;R-HSA-9694718;R-HSA-9694364
R-HSA-3371568,Attenuation phase,8,47,0.00308399,0.878858766,0.878858766,5,5,3.53E-04,9606,Homo sapiens,CREBBP;TUT7;HSBP1;SERPINH1;HSPB1;HSPA2;FKBP4;TNFRSF21,,R-HSA-3371554;R-HSA-5324617;R-HSA-5082369;R-HSA-5082384;R-HSA-3371582
R-HSA-451927,Interleukin-2 family signaling,8,47,0.00308399,0.878858766,0.878858766,51,59,0.004169317,9606,Homo sapiens,STAT5B;SYK;SHC1;STAT4;PTK2B;SOS1;SOS2;JAK1,,R-HSA-452102;R-HSA-912527;R-HSA-452100;R-HSA-508292;R-HSA-8983309;R-HSA-452097;R-HSA-8983425;R-HSA-8983424;R-HSA-450063;R-HSA-8983299;R-HSA-452108;R-HSA-8983298;R-HSA-9006850;R-HSA-8983300;R-HSA-8985988;R-HSA-9006873;R-HSA-9005980;R-HSA-452122;R-HSA-913424;R-HSA-8963734;R-HSA-9006870;R-HSA-508451;R-HSA-8985900;R-HSA-507937;R-HSA-9011748;R-HSA-9009700;R-HSA-8983335;R-HSA-8985914;R-HSA-451900;R-HSA-8985929;R-HSA-8983371;R-HSA-8983373;R-HSA-8983374;R-HSA-508247;R-HSA-8983384;R-HSA-913374;R-HSA-8985950;R-HSA-8983379;R-HSA-8983378;R-HSA-449115;R-HSA-451942;R-HSA-919404;R-HSA-508513;R-HSA-8983394;R-HSA-450027;R-HSA-453111;R-HSA-9006844;R-HSA-453104;R-HSA-8985973;R-HSA-452091;R-HSA-508282
R-HSA-1912422,Pre-NOTCH Expression and Processing,22,114,0.007480315,0.879105356,0.879105356,35,38,0.002685323,9606,Homo sapiens,H2AZ2;NOTCH3;PRKCI;CREBBP;NOTCH1;MAML2;RFNG;RUNX1;TNRC6C;LFNG;KAT2A;H2BC15;TFDP1;H4C14;AGO2;ST3GAL4;TNRC6B,,R-HSA-1912349;R-HSA-1912413;R-HSA-1912412;R-HSA-1912415;R-HSA-1606682;R-HSA-1912409;R-HSA-1912410;R-HSA-1912406;R-HSA-9604831;R-HSA-9604703;R-HSA-9604829;R-HSA-4395227;R-HSA-4395231;R-HSA-9017835;R-HSA-1912382;R-HSA-9021357;R-HSA-1912379;R-HSA-1912378;R-HSA-1912372;R-HSA-1912374;R-HSA-1912369;R-HSA-1912368;R-HSA-9604834;R-HSA-1912364;R-HSA-1912367;R-HSA-1912366;R-HSA-1912363;R-HSA-1912362;R-HSA-1606561;R-HSA-1912353;R-HSA-1912416;R-HSA-1912352;R-HSA-9604719;R-HSA-9021364;R-HSA-1912355
R-HSA-5654696,Downstream signaling of activated FGFR2,7,42,0.002755906,0.879376328,0.879376328,22,23,0.001625327,9606,Homo sapiens,FGF9;SHC1;FGF18;SOS1;FGF1;FGF2,,R-HSA-5654614;R-HSA-5654615;R-HSA-5654612;R-HSA-5654608;R-HSA-5654622;R-HSA-5654399;R-HSA-5654620;R-HSA-5654397;R-HSA-5654618;R-HSA-5654406;R-HSA-5654407;R-HSA-5654404;R-HSA-5654402;R-HSA-5654147;R-HSA-5654159;R-HSA-5654607;R-HSA-8941618;R-HSA-5654157;R-HSA-5654701;R-HSA-5654605;R-HSA-5654603;R-HSA-5654697
R-HSA-5693616,Presynaptic phase of homologous DNA pairing and strand exchange,7,42,0.002755906,0.879376328,0.879376328,3,7,4.95E-04,9606,Homo sapiens,BARD1;RAD51C;RFC2;XRCC2;RPA1;TOPBP1;BRCA1,,R-HSA-5685318;R-HSA-5685341;R-HSA-5693561
R-HSA-109581,Apoptosis,39,192,0.012598425,0.880515326,0.880515326,81,142,0.010034627,9606,Homo sapiens,PSMD12;PPP1R13B;PSMD14;RPN2;MAGED1;OMA1;LMNB1;STK3;PSMB7;BCL2L11;YWHAQ;CDH1;CASP3;AKT2;UBC;PSMD3;AKT1;SFN;YWHAG;VTI1B;YWHAH;DSP;SH3GLB2;APAF1;UNC5B;PRKCD;TNFRSF10B;YWHAZ;PSMB8;H1-2;ARHGAP10;PSMC5;TFDP1;PSMA1;DLC1;NMT1;CTNNB1,,R-HSA-211715;R-HSA-139906;R-HSA-351877;R-HSA-201603;R-HSA-351876;R-HSA-114306;R-HSA-508163;R-HSA-508162;R-HSA-139908;R-HSA-211716;R-HSA-201611;R-HSA-114440;R-HSA-139913;R-HSA-201608;R-HSA-139918;R-HSA-139919;R-HSA-4331340;R-HSA-211731;R-HSA-211219;R-HSA-6804596;R-HSA-211734;R-HSA-201622;R-HSA-8867344;R-HSA-351901;R-HSA-418846;R-HSA-418845;R-HSA-201631;R-HSA-201630;R-HSA-201629;R-HSA-201628;R-HSA-418852;R-HSA-9627056;R-HSA-264871;R-HSA-201639;R-HSA-211239;R-HSA-202917;R-HSA-201636;R-HSA-418849;R-HSA-201640;R-HSA-351913;R-HSA-211247;R-HSA-374699;R-HSA-139952;R-HSA-141367;R-HSA-202939;R-HSA-114361;R-HSA-140217;R-HSA-350651;R-HSA-140221;R-HSA-202947;R-HSA-211651;R-HSA-9627089;R-HSA-198347;R-HSA-6804652;R-HSA-212552;R-HSA-373705;R-HSA-114252;R-HSA-351947;R-HSA-114254;R-HSA-114256;R-HSA-114259;R-HSA-202960;R-HSA-114261;R-HSA-9627078;R-HSA-202967;R-HSA-202966;R-HSA-202969;R-HSA-3465448;R-HSA-6805507;R-HSA-141156;R-HSA-3371359;R-HSA-351849;R-HSA-211186;R-HSA-114419;R-HSA-9627104;R-HSA-211190;R-HSA-201595;R-HSA-139899;R-HSA-351871;R-HSA-4331327;R-HSA-4331324
R-HSA-399719,Trafficking of AMPA receptors,6,37,0.002427822,0.881019238,0.881019238,4,4,2.83E-04,9606,Homo sapiens,GRIP1;PRKCB;PRKCA;AP2A1;PRKACA;AP2M1;CACNG4,,R-HSA-416320;R-HSA-421007;R-HSA-416639;R-HSA-416985
R-HSA-203615,eNOS activation,6,37,0.002427822,0.881019238,0.881019238,18,20,0.001413328,9606,Homo sapiens,DDAH1;NOS3;CAV1;AKT1;CALM1;CYGB,,R-HSA-202144;R-HSA-203712;R-HSA-1497810;R-HSA-5340214;R-HSA-5693373;R-HSA-202127;R-HSA-203567;R-HSA-1497784;R-HSA-202129;R-HSA-1497796;R-HSA-5340226;R-HSA-203700;R-HSA-202132;R-HSA-203611;R-HSA-202137;R-HSA-202111;R-HSA-202110;R-HSA-203613
R-HSA-5693568,Resolution of D-loop Structures through Holliday Junction Intermediates,6,37,0.002427822,0.881019238,0.881019238,8,9,6.36E-04,9606,Homo sapiens,BARD1;RAD51C;EME1;XRCC2;BRCA1,,R-HSA-5686469;R-HSA-5686483;R-HSA-5693539;R-HSA-5693584;R-HSA-5686430;R-HSA-5686410;R-HSA-5686475;R-HSA-5686440
R-HSA-5694530,Cargo concentration in the ER,6,37,0.002427822,0.881019238,0.881019238,8,12,8.48E-04,9606,Homo sapiens,SERPINA1;TMED10;COL7A1;CTSZ;TGFA;CNIH2,,R-HSA-5694436;R-HSA-5694435;R-HSA-5694428;R-HSA-5694445;R-HSA-5694522;R-HSA-5694410;R-HSA-5694442;R-HSA-5694427
R-HSA-5250924,B-WICH complex positively regulates rRNA expression,11,62,0.004068241,0.881219227,0.881219227,3,3,2.12E-04,9606,Homo sapiens,H2AZ2;KAT2A;H2BC15;MYO1C;H4C14;MMD;RPA1;DEK;BAZ1B;ACTB,,R-HSA-5250930;R-HSA-5250947;R-HSA-5250938
R-HSA-964975,Vitamins B6 activation to pyridoxal phosphate,3,21,0.001377953,0.881694929,0.881694929,6,6,4.24E-04,9606,Homo sapiens,PDXK;PNPO;AOX1,,R-HSA-964958;R-HSA-964970;R-HSA-965019;R-HSA-3204311;R-HSA-965079;R-HSA-964962
R-HSA-9702518,STAT5 activation downstream of FLT3 ITD mutants,3,21,0.001377953,0.881694929,0.881694929,13,14,9.89E-04,9606,Homo sapiens,STAT5B;PIM1,,R-HSA-9698033;R-HSA-9698007;R-HSA-9698005;R-HSA-9698043;R-HSA-9698041;R-HSA-9698013;R-HSA-9698754;R-HSA-9698016;R-HSA-9698021;R-HSA-9703436;R-HSA-9698762;R-HSA-9698026;R-HSA-9698029
R-HSA-77346,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,3,21,0.001377953,0.881694929,0.881694929,3,5,3.53E-04,9606,Homo sapiens,MARVELD3;HADH,,R-HSA-77344;R-HSA-77340;R-HSA-77342
R-HSA-8876725,Protein methylation,3,21,0.001377953,0.881694929,0.881694929,3,9,6.36E-04,9606,Homo sapiens,KIN;CIR1;CALM1,,R-HSA-8931858;R-HSA-6786205;R-HSA-8932275
R-HSA-196783,Coenzyme A biosynthesis,3,21,0.001377953,0.881694929,0.881694929,2,7,4.95E-04,9606,Homo sapiens,SLC25A16;PANK3;PANK1,,R-HSA-199203;R-HSA-199216
R-HSA-5693565,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,12,67,0.004396325,0.882765242,0.882765242,36,39,0.002755989,9606,Homo sapiens,BARD1;CDS1;H2BC15;EYA2;H4C14;EYA3;UBC;UBE2N;BRCA1;BAZ1B,,R-HSA-5683735;R-HSA-5682967;R-HSA-69891;R-HSA-5682965;R-HSA-5683986;R-HSA-5683792;R-HSA-5682588;R-HSA-5683930;R-HSA-5682586;R-HSA-5683801;R-HSA-9700998;R-HSA-5659781;R-HSA-5683077;R-HSA-5682629;R-HSA-5693583;R-HSA-5683405;R-HSA-9701000;R-HSA-9701003;R-HSA-5682992;R-HSA-5683774;R-HSA-5693566;R-HSA-5683967;R-HSA-5683964;R-HSA-5683384;R-HSA-5683385;R-HSA-5682598;R-HSA-5682983;R-HSA-5693602;R-HSA-5693536;R-HSA-5683425;R-HSA-5693551;R-HSA-5682863;R-HSA-5682607;R-HSA-5693549;R-HSA-5682858;R-HSA-9707051
R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),17,91,0.005971129,0.883346489,0.883346489,11,15,0.001059996,9606,Homo sapiens,PSMD12;RPN2;PSMD14;FBXW11;PRKCB;PSMB8;NFKBIA;PPP3CA;PSMB7;PSMC5;PSMA1;UBC;PSMD3;CALM1;CARD11,,R-HSA-1168641;R-HSA-1168640;R-HSA-1168643;R-HSA-1168642;R-HSA-2025882;R-HSA-1168373;R-HSA-1168644;R-HSA-1168635;R-HSA-2025890;R-HSA-1168637;R-HSA-1168638
R-HSA-5689901,Metalloprotease DUBs,5,32,0.002099738,0.884304379,0.884304379,5,6,4.24E-04,9606,Homo sapiens,BARD1;PSMD14;UBC;BRCA1,,R-HSA-5691431;R-HSA-5691381;R-HSA-5691411;R-HSA-5696547;R-HSA-5691439
R-HSA-1855183,"Synthesis of IP2, IP, and Ins in the cytosol",5,32,0.002099738,0.884304379,0.884304379,9,14,9.89E-04,9606,Homo sapiens,MTMR3;INPP5A;IMPA1;INPP1;EMILIN2,,R-HSA-6809238;R-HSA-1855208;R-HSA-1855210;R-HSA-1855211;R-HSA-1855222;R-HSA-6809565;R-HSA-1855174;R-HSA-1855232;R-HSA-1855154
R-HSA-110373,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,5,32,0.002099738,0.884304379,0.884304379,9,19,0.001342661,9606,Homo sapiens,POLE4;LIG1;RFC2;POLD2;RPA1,,R-HSA-110368;R-HSA-110371;R-HSA-5651792;R-HSA-5651809;R-HSA-110363;R-HSA-5651805;R-HSA-5651789;R-HSA-5651773;R-HSA-110364
R-HSA-264876,Insulin processing,5,32,0.002099738,0.884304379,0.884304379,3,17,0.001201329,9606,Homo sapiens,CLTRN;EXOC7;RAB27A;EXOC3;EXOC5,,R-HSA-9023171;R-HSA-9023173;R-HSA-265177
R-HSA-74751,Insulin receptor signalling cascade,13,72,0.004724409,0.884527892,0.884527892,23,25,0.00176666,9606,Homo sapiens,FGF9;SHC1;IRS1;INSR;AKT2;FGF18;RPL13A;SOS1;FGFR4;FGF1;FGFR3;FGF2,,R-HSA-109699;R-HSA-109700;R-HSA-109702;R-HSA-5686074;R-HSA-109807;R-HSA-74737;R-HSA-74736;R-HSA-74707;R-HSA-109813;R-HSA-74740;R-HSA-74743;R-HSA-74711;R-HSA-74742;R-HSA-109817;R-HSA-162363;R-HSA-74712;R-HSA-74747;R-HSA-110011;R-HSA-74746;R-HSA-5686315;R-HSA-74748;R-HSA-109823;R-HSA-109822
R-HSA-5368286,Mitochondrial translation initiation,18,96,0.006299213,0.885912972,0.885912972,3,4,2.83E-04,9606,Homo sapiens,PTCD3;MRPS15;MRPS23;MRPL38;MRPL27;MRPS31;MRPL36;MRPL58;MRPS30;MRPS7;MRPL12;MRPL23;MRPL46;MRPL10;MRPL33;MRPL42;MRPS9,,R-HSA-5368279;R-HSA-5389849;R-HSA-5389839
R-HSA-6809371,Formation of the cornified envelope,27,138,0.009055118,0.886131283,0.886131283,22,27,0.001907992,9606,Homo sapiens,DSP;KRT81;ST14;KRT80;JUP;KLK5;KRT13;KRT8;KAZN;KRT23;KRT7;KRT10;KRT5;KRT86;PPL;KRT19;KRT18;KRT17;PKP3;PI3;PRSS8;CAPN1;KRT6A,,R-HSA-6814695;R-HSA-6814374;R-HSA-8849638;R-HSA-8849797;R-HSA-8849826;R-HSA-8850818;R-HSA-8849857;R-HSA-8850831;R-HSA-6814734;R-HSA-6810894;R-HSA-8849646;R-HSA-8934819;R-HSA-6814764;R-HSA-6814187;R-HSA-8850794;R-HSA-6810357;R-HSA-6811539;R-HSA-6814387;R-HSA-8942224;R-HSA-6810843;R-HSA-6814298;R-HSA-6810937
R-HSA-8869496,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,1,9,5.91E-04,0.886464814,0.886464814,7,7,4.95E-04,9606,Homo sapiens,TFAP2A,,R-HSA-8869543;R-HSA-8869558;R-HSA-8869542;R-HSA-8869568;R-HSA-8869566;R-HSA-8869549;R-HSA-8869560
R-HSA-163765,ChREBP activates metabolic gene expression,1,9,5.91E-04,0.886464814,0.886464814,6,6,4.24E-04,9606,Homo sapiens,MLX,,R-HSA-163666;R-HSA-163748;R-HSA-163733;R-HSA-163669;R-HSA-163770;R-HSA-163743
R-HSA-8964026,Chylomicron clearance,1,9,5.91E-04,0.886464814,0.886464814,4,4,2.83E-04,9606,Homo sapiens,LDLR,,R-HSA-174706;R-HSA-174624;R-HSA-174657;R-HSA-174808
R-HSA-2980767,"Activation of NIMA Kinases NEK9, NEK6, NEK7",1,9,5.91E-04,0.886464814,0.886464814,4,4,2.83E-04,9606,Homo sapiens,NEK9,,R-HSA-2984220;R-HSA-2980720;R-HSA-2984258;R-HSA-2984226
R-HSA-3656244,Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),1,9,5.91E-04,0.886464814,0.886464814,3,3,2.12E-04,9606,Homo sapiens,ACAN,,R-HSA-3656230;R-HSA-9035949;R-HSA-9035950
